step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-14.4751,1.314,0.5,0
2,1.15459,0.7598,-0.229764,3.504,0.5,0
3,1.73189,0.7598,-0.230675,3.942,0.5,0.5
4,2.30918,0.7598,-0.231587,4.818,0.5,0.5
5,2.88648,0.7598,-0.232499,5.256,0.5,0.5
6,3.46393,0.7599,-0.235316,6.57,0.5,0.5
7,4.04122,0.7598,-0.232447,6.7858,0.5,0.5
8,4.61837,0.7597,-0.233329,4.8735,0.5,0.5
9,5.19521,0.7595,-0.232305,3.1935,0.5,0.5
10,5.77129,0.759,-0.227441,0.6906,0.5,0.5
11,6.34616,0.7582,-0.222486,1.8039,0.5,0.5
12,6.92057,0.7579,-0.232681,1.7733,0.5,0.5
13,7.49438,0.7575,-0.231595,1.6252,0.5,0.5
14,8.06773,0.7572,-0.234288,1.4038,0.5,0.5
15,8.63911,0.7559,-0.216055,0.8489,0.5,0.5
16,9.20823,0.7544,-0.212761,0.911,0.5,0.5
17,9.7766,0.7539,-0.232265,0.969,0.5,0.5
18,10.3432,0.7527,-0.219684,1.094,0.5,0.5
19,10.9066,0.7506,-0.203079,1.2407,0.5,0.5
20,11.4676,0.749,-0.212873,1.3195,0.5,0.5
21,12.0248,0.7465,-0.196144,1.4863,0.5,0.5
22,12.5807,0.7456,-0.226769,1.5295,0.5,0.5
23,13.1322,0.7426,-0.187385,1.7639,0.5,0.5
24,13.6783,0.739,-0.175941,2.0084,0.5,0.5
25,14.2185,0.735,-0.168123,2.28,0.5,0.5
26,14.7547,0.7322,-0.190662,2.4315,0.5,0.5
27,15.2887,0.7308,-0.217369,2.5171,0.5,0.5
28,15.8206,0.7293,-0.215919,2.6155,0.5,0.5
29,16.35,0.7276,-0.212532,2.6917,0.5,0.5
30,16.8739,0.7238,-0.172886,2.9042,0.5,0.5
31,17.3949,0.7218,-0.206902,2.9971,0.5,0.5
32,17.9129,0.7197,-0.205261,3.1206,0.5,0.5
33,18.4278,0.7176,-0.205492,3.1922,0.5,0.5
34,18.9326,0.7105,-0.110464,3.536,0.5,0.5
35,19.4261,0.7025,-0.0920324,3.8662,0.5,0.5
36,19.9091,0.695,-0.0999914,4.2102,0.5,0.5
37,20.3821,0.6877,-0.102377,4.5471,0.5,0.5
38,20.8516,0.6852,-0.192449,4.6591,0.5,0.5
39,21.31,0.6771,-0.0858314,4.9938,0.5,0.5
40,21.7642,0.6739,-0.177555,5.1029,0.5,0.5
41,22.2015,0.6613,0.00168132,5.5458,0.5,0.5
42,22.6233,0.6495,-0.0105581,5.8719,0.5,0.5
43,23.0322,0.6394,-0.0401704,6.1956,0.5,0.5
44,23.4296,0.6304,-0.0588518,6.5211,0.5,0.5
45,23.815,0.6208,-0.0454668,6.8447,0.5,0.5
46,24.187,0.6099,-0.0185537,7.166,0.5,0.5
47,24.5542,0.606,-0.149361,7.2728,0.5,0.5
48,24.908,0.5948,-0.00983964,7.5917,0.5,0.5
49,25.2508,0.5855,-0.0433772,7.7984,0.5,0.5
