step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-2.89502,5.256,0.5,0
2,1.15474,0.7599,-0.0463337,6.57,0.5,0
3,1.73189,0.7597,-0.0453791,4.8663,0.5,0.5
4,2.30903,0.7597,-0.0463114,3.1872,0.5,0.5
5,2.88618,0.7597,-0.0464937,1.6759,0.5,0.5
6,3.46317,0.7596,-0.046295,1.225,0.5,0.5
7,4.04001,0.7595,-0.0464713,1.7518,0.5,0.5
8,4.6167,0.7594,-0.0466476,1.7243,0.5,0.5
9,5.19323,0.7593,-0.0468238,1.3349,0.5,0.5
10,5.76962,0.7592,-0.047,1.0922,0.5,0.5
11,6.34585,0.7591,-0.0471762,0.8641,0.5,0.5
12,6.92178,0.7589,-0.0469713,0.6408,0.5,0.5
13,7.49756,0.7588,-0.0475224,0.6768,0.5,0.5
14,8.07318,0.7587,-0.0476985,0.755,0.5,0.5
15,8.64805,0.7582,-0.0463505,0.9666,0.5,0.5
16,9.22246,0.7579,-0.0472644,1.0198,0.5,0.5
17,9.79657,0.7577,-0.0478092,1.0789,0.5,0.5
18,10.3693,0.7568,-0.0453119,1.2315,0.5,0.5
19,10.941,0.7561,-0.0462013,1.4921,0.5,0.5
20,11.5122,0.7558,-0.0478647,1.5317,0.5,0.5
21,12.0826,0.7552,-0.046885,1.6515,0.5,0.5
22,12.6515,0.7543,-0.045887,1.8971,0.5,0.5
23,13.2175,0.7523,-0.0418225,2.2826,0.5,0.5
24,13.7815,0.751,-0.0445498,2.5043,0.5,0.5
25,14.344,0.75,-0.0457948,2.671,0.5,0.5
26,14.9057,0.7495,-0.0478197,2.7558,0.5,0.5
27,15.4667,0.749,-0.0479694,2.8548,0.5,0.5
28,16.0259,0.7478,-0.0454519,3.0729,0.5,0.5
29,16.5823,0.7459,-0.0428919,3.3431,0.5,0.5
30,17.1356,0.7438,-0.0421944,3.6815,0.5,0.5
31,17.6854,0.7415,-0.0414844,4.009,0.5,0.5
32,18.2303,0.7382,-0.0377136,4.462,0.5,0.5
33,18.7711,0.7354,-0.039597,4.7978,0.5,0.5
34,19.309,0.7334,-0.0426531,5.0207,0.5,0.5
35,19.8422,0.7302,-0.0381363,5.3535,0.5,0.5
36,20.3738,0.7291,-0.0461203,5.464,0.5,0.5
37,20.8984,0.7243,-0.0321311,5.9037,0.5,0.5
38,21.4213,0.7231,-0.0457327,6.0131,0.5,0.5
39,21.9365,0.7178,-0.0302119,6.4484,0.5,0.5
40,22.4497,0.7164,-0.0449249,6.5566,0.5,0.5
41,22.9568,0.7121,-0.0339628,6.8801,0.5,0.5
42,23.4618,0.7106,-0.0445433,6.9874,0.5,0.5
43,23.9578,0.7043,-0.0263344,7.4147,0.5,0.5
44,24.4515,0.7026,-0.043651,7.521,0.5,0.5
45,24.9378,0.6974,-0.0303814,7.8385,0.5,0.5
46,25.4164,0.6918,-0.0287114,8.1539,0.5,0.5
47,25.8869,0.6859,-0.027397,8.4676,0.5,0.5
48,26.3505,0.6809,-0.0306354,8.7792,0.5,0.5
49,26.8138,0.6807,-0.0487868,9.089,0.5,0.5
50,27.2835,0.6853,-0.0672273,9.2944,0.5,0.5
51,27.7592,0.6897,-0.0669068,9.3967,0.5,0.5
52,28.2243,0.682,-0.0212335,9.702,0.5,0.5
53,28.6896,0.6821,-0.0506532,10.0058,0.5,0.5
54,29.16,0.6859,-0.0649208,10.3077,0.5,0.5
55,29.6383,0.6916,-0.0725538,10.6079,0.5,0.5
56,30.1195,0.6937,-0.0593463,10.7074,0.5,0.5
57,30.6105,0.7007,-0.0783094,11.1035,0.5,0.5
58,31.108,0.7053,-0.0697547,11.3207,0.5,0.5
59,31.6074,0.7067,-0.0580083,11.6687,0.5,0.5
60,32.1085,0.7079,-0.0575002,11.2052,0.5,0.5
61,32.6165,0.7127,-0.0714593,11.8214,0.5,0.5
62,33.1288,0.7158,-0.065442,12.3292,0.5,0.5
63,33.6444,0.718,-0.0623714,12.4324,0.5,0.5
64,34.1616,0.7192,-0.058866,12.7919,0.5,0.5
65,34.6799,0.7199,-0.0572058,12.8176,0.5,0.5
66,35.198,0.7198,-0.0543725,13.5687,0.5,0.5
67,35.7148,0.7189,-0.051491,13.5466,0.5,0.5
68,36.2305,0.7181,-0.0519904,13.6935,0.5,0.5
69,36.7454,0.7176,-0.0532576,13.9368,0.5,0.5
70,37.2561,0.7146,-0.0438741,14.1824,0.5,0.5
71,37.762,0.7113,-0.0427218,14.5284,0.5,0.5
72,38.2662,0.7101,-0.0506952,14.7098,0.5,0.5
73,38.765,0.7062,-0.0405057,14.8648,0.5,0.5
74,39.2569,0.7014,-0.0370111,15.3665,0.5,0.5
75,39.7413,0.696,-0.0346041,15.4498,0.5,0.5
76,40.2174,0.69,-0.0321597,15.7975,0.5,0.5
77,40.6849,0.6837,-0.0308208,15.9662,0.5,0.5
78,41.1493,0.6815,-0.0462274,16.1665,0.5,0.5
79,41.6046,0.6747,-0.0287313,16.3533,0.5,0.5
80,42.0493,0.6669,-0.0246733,16.7139,0.5,0.5
81,42.4905,0.6642,-0.0437958,16.6636,0.5,0.5
82,42.917,0.6531,-0.0117865,17.0254,0.5,0.5
83,43.3396,0.6501,-0.0421375,17.1895,0.5,0.5
84,43.7586,0.6473,-0.0428749,17.1831,0.5,0.5
85,44.1653,0.6377,-0.0169519,17.5282,0.5,0.5
86,44.5587,0.6272,-0.0130974,17.7346,0.5,0.5
87,44.9474,0.6235,-0.0385251,17.8639,0.5,0.5
88,45.3188,0.6094,0.00117466,18.1948,0.5,0.5
89,45.6858,0.6058,-0.0381297,18.2453,0.5,0.5
90,46.0486,0.6023,-0.0384393,18.3604,0.5,0.5
91,46.3978,0.591,-0.00865313,18.5896,0.5,0.5
92,46.7423,0.5869,-0.035548,18.6898,0.5,0.5
93,47.0731,0.5752,-0.00648403,18.9273,0.5,0.5
94,47.39,0.5629,-0.00363113,19.1829,0.5,0.5
95,47.6976,0.5546,-0.0182662,19.3472,0.5,0.5
96,47.9965,0.5467,-0.0194234,19.5101,0.5,0.5
97,48.291,0.5427,-0.0339387,19.5887,0.5,0.5
98,48.5724,0.5305,-0.00258401,19.8347,0.5,0.5
99,48.8356,0.513,0.0182179,20.1583,0.5,0.5
100,49.0855,0.4999,0.0023839,20.3971,0.5,0.5
101,49.3204,0.4847,0.0110546,20.717,0.5,0.5
102,49.552,0.4812,-0.0327259,20.7928,0.5,0.5
