step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-0.53186,0,0.5,0
2,1.15459,0.7598,-0.53186,0.438,0.5,0
3,1.73189,0.7598,-0.53186,1.752,0.5,0.5
4,2.30918,0.7598,-0.53186,3.504,0.5,0.5
5,2.88648,0.7598,-0.53186,3.942,0.5,0.5
6,3.46378,0.7598,-0.53186,4.38,0.5,0.5
7,4.04107,0.7598,-0.53186,6.132,0.5,0.5
8,4.61837,0.7598,-0.53186,6.7858,0.5,0.5
9,5.19308,0.7581,-0.53067,0.5178,0.5,0.5
10,5.76492,0.7562,-0.52934,1.6626,0.5,0.5
11,6.33329,0.7539,-0.52773,1.6432,0.5,0.5
12,6.89909,0.7522,-0.52654,1.184,0.5,0.5
13,7.4571,0.747,-0.5229,0.9608,0.5,0.5
14,8.01332,0.7458,-0.52206,1.002,0.5,0.5
15,8.56552,0.7431,-0.52017,1.0957,0.5,0.5
16,9.11341,0.7402,-0.51814,1.1938,0.5,0.5
17,9.65894,0.7386,-0.51702,1.233,0.5,0.5
18,10.1939,0.7314,-0.51198,1.4647,0.5,0.5
19,10.7259,0.7294,-0.51058,1.5366,0.5,0.5
20,11.2549,0.7273,-0.50911,1.5846,0.5,0.5
21,11.7701,0.7178,-0.50246,1.8416,0.5,0.5
22,12.2735,0.7095,-0.49665,2.0701,0.5,0.5
23,12.7636,0.7001,-0.49007,2.2941,0.5,0.5
24,13.2492,0.6968,-0.48776,2.3727,0.5,0.5
25,13.7249,0.6897,-0.48279,2.5183,0.5,0.5
26,14.1955,0.686,-0.4802,2.608,0.5,0.5
27,14.6607,0.6821,-0.47747,2.7072,0.5,0.5
28,15.1204,0.678,-0.4746,2.8037,0.5,0.5
29,15.5744,0.6738,-0.47166,2.8889,0.5,0.5
30,16.0032,0.6548,-0.45836,3.2903,0.5,0.5
31,16.4252,0.6496,-0.45472,3.4171,0.5,0.5
32,16.8401,0.6442,-0.45094,3.5049,0.5,0.5
33,17.2405,0.6327,-0.44289,3.73,0.5,0.5
34,17.6254,0.6204,-0.43428,3.9579,0.5,0.5
35,17.9939,0.6071,-0.42497,4.1849,0.5,0.5
36,18.3365,0.5853,-0.40971,4.5226,0.5,0.5
37,18.6514,0.5612,-0.39284,4.857,0.5,0.5
38,18.9375,0.5348,-0.37436,5.1902,0.5,0.5
39,19.2136,0.5255,-0.36785,5.3011,0.5,0.5
40,19.4698,0.5062,-0.35434,5.5227,0.5,0.5
41,19.7161,0.4962,-0.34734,5.633,0.5,0.5
42,19.932,0.4647,-0.32529,5.9624,0.5,0.5
43,20.1174,0.4306,-0.30142,6.2893,0.5,0.5
44,20.2627,0.3811,-0.26677,6.7228,0.5,0.5
45,20.3981,0.368,-0.2576,6.831,0.5,0.5
46,20.5239,0.3547,-0.24829,6.9393,0.5,0.5
47,20.6224,0.3139,-0.21973,7.2619,0.5,0.5
48,20.7038,0.2853,-0.19971,7.4754,0.5,0.5
49,20.7772,0.2708,-0.18956,7.5821,0.5,0.5
50,20.8215,0.2106,-0.14742,8.006,0.5,0.5
51,20.8595,0.1949,-0.13643,8.1113,0.5,0.5
52,20.8862,0.1634,-0.11438,8.3215,0.5,0.5
53,20.9034,0.1312,-0.09184,8.5307,0.5,0.5
54,20.9166,0.1149,-0.08043,8.6349,0.5,0.5
55,20.9264,0.0989,-0.06923,8.7388,0.5,0.5
56,20.9334,0.0835,-0.05845,8.8424,0.5,0.5
57,20.9382,0.0693,-0.04851,8.9458,0.5,0.5
58,20.9416,0.0583,-0.04081,9.0489,0.5,0.5
59,20.9451,0.0592,-0.04144,9.2544,0.5,0.5
60,20.9506,-0.0744,0.05208,9.3569,0.5,0.5
61,20.9581,-0.0863,0.06041,9.6631,0.5,0.5
62,20.9645,-0.0804,0.05628,9.863,0.5,0.5
63,20.9716,-0.0839,0.05873,9.9631,0.5,0.5
64,20.9798,-0.0906,0.06342,10.0635,0.5,0.5
65,20.988,-0.0906,0.06342,10.0635,0.5,0.5
66,20.9979,-0.0994,0.06958,10.1637,0.5,0.5
67,21.0098,-0.1093,0.07651,10.2639,0.5,0.5
68,21.0241,-0.1198,0.08386,10.3639,0.5,0.5
69,21.0412,-0.1305,0.09135,10.4636,0.5,0.5
70,21.0611,-0.1411,0.09877,10.5631,0.5,0.5
71,21.084,-0.1514,0.10598,10.6623,0.5,0.5
72,21.1168,-0.181,0.1267,10.9591,0.5,0.5
73,21.1531,-0.1905,0.13335,11.0576,0.5,0.5
74,21.1967,-0.2088,0.14616,11.2534,0.5,0.5
75,21.244,-0.2176,0.15232,11.3944,0.5,0.5
76,21.2951,-0.226,0.1582,11.3707,0.5,0.5
77,21.3499,-0.2342,0.16394,11.7153,0.5,0.5
78,21.4084,-0.2418,0.16926,11.255,0.5,0.5
79,21.4705,-0.2492,0.17444,11.73,0.5,0.5
80,21.5361,-0.2562,0.17934,11.8517,0.5,0.5
81,21.6053,-0.2629,0.18403,11.7538,0.5,0.5
82,21.6777,-0.2692,0.18844,11.8765,0.5,0.5
83,21.7534,-0.2751,0.19257,12.2562,0.5,0.5
84,21.8321,-0.2806,0.19642,11.8934,0.5,0.5
85,21.9138,-0.2857,0.19999,12.3376,0.5,0.5
86,21.998,-0.2903,0.20321,12.3776,0.5,0.5
87,22.0848,-0.2946,0.20622,12.454,0.5,0.5
88,22.1738,-0.2983,0.20881,12.4797,0.5,0.5
89,22.2648,-0.3017,0.21119,12.6695,0.5,0.5
90,22.3575,-0.3044,0.21308,12.757,0.5,0.5
91,22.4528,-0.3087,0.21609,12.7808,0.5,0.5
92,22.549,-0.3101,0.21707,13.2504,0.5,0.5
93,22.6456,-0.3109,0.21763,12.7681,0.5,0.5
94,22.7425,-0.3113,0.21791,13.2746,0.5,0.5
95,22.8392,-0.311,0.2177,13.3408,0.5,0.5
96,22.9356,-0.3104,0.21728,13.3597,0.5,0.5
97,23.0286,-0.3049,0.21343,13.6191,0.5,0.5
98,23.1198,-0.3021,0.21147,13.8557,0.5,0.5
99,23.209,-0.2986,0.20902,13.8539,0.5,0.5
100,23.2958,-0.2947,0.20629,13.9843,0.5,0.5
101,23.3706,-0.2735,0.19145,14.28,0.5,0.5
102,23.4338,-0.2513,0.17591,14.5102,0.5,0.5
103,23.4927,-0.2427,0.16989,14.8403,0.5,0.5
104,23.5386,-0.2143,0.15001,14.974,0.5,0.5
105,23.5715,-0.1813,0.12691,15.1581,0.5,0.5
106,23.6001,-0.1693,0.11851,15.3578,0.5,0.5
107,23.6174,-0.1313,0.09191,15.5023,0.5,0.5
108,23.6254,-0.0895,0.06265,15.9279,0.5,0.5
109,23.631,-0.075,0.0525,15.898,0.5,0.5
110,23.6319,-0.0302,0.02114,16.2872,0.5,0.5
111,23.6322,0.0163,-0.01141,16.4388,0.5,0.5
112,23.6363,0.0641,-0.04487,16.8415,0.5,0.5
113,23.6488,0.1119,-0.07833,16.8819,0.5,0.5
114,23.6741,0.1589,-0.11123,17.4143,0.5,0.5
115,23.7043,0.174,-0.1218,17.2053,0.5,0.5
116,23.74,0.1887,-0.13209,17.56,0.5,0.5
117,23.7988,0.2425,-0.16975,17.9209,0.5,0.5
118,23.8761,0.2781,-0.19467,17.8594,0.5,0.5
119,23.9712,0.3084,-0.21588,18.4411,0.5,0.5
120,24.098,0.3561,-0.24927,19.0853,0.5,0.5
121,24.2282,0.3608,-0.25256,19.041,0.5,0.5
122,24.3549,0.3559,-0.24913,19.5575,0.5,0.5
