step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-57.2132,0,0.5,0
2,1.15459,0.7598,-0.228396,0.438,0.5,0
3,1.73189,0.7598,-0.228624,1.314,0.5,0.5
4,2.30918,0.7598,-0.228852,2.628,0.5,0.5
5,2.88648,0.7598,-0.22908,3.066,0.5,0.5
6,3.46378,0.7598,-0.229308,4.38,0.5,0.5
7,4.04107,0.7598,-0.229536,4.818,0.5,0.5
8,4.61837,0.7598,-0.229764,5.256,0.5,0.5
9,5.19582,0.7599,-0.237521,6.57,0.5,0.5
10,5.77311,0.7598,-0.222719,6.7858,0.5,0.5
11,6.34919,0.759,-0.170207,0.5911,0.5,0.5
12,6.92421,0.7583,-0.177725,1.6679,0.5,0.5
13,7.49847,0.7578,-0.192802,1.789,0.5,0.5
14,8.07122,0.7568,-0.155229,1.2012,0.5,0.5
15,8.64215,0.7556,-0.140096,0.8491,0.5,0.5
16,9.21127,0.7544,-0.139962,1.0051,0.5,0.5
17,9.77903,0.7535,-0.162418,1.152,0.5,0.5
18,10.346,0.753,-0.192494,1.1679,0.5,0.5
19,10.9106,0.7514,-0.109739,1.3432,0.5,0.5
20,11.4719,0.7492,-0.0643041,1.4908,0.5,0.5
21,12.0304,0.7473,-0.0864583,1.7288,0.5,0.5
22,12.5865,0.7457,-0.108702,1.9096,0.5,0.5
23,13.1397,0.7438,-0.0858552,2.1308,0.5,0.5
24,13.6895,0.7415,-0.0553876,2.395,0.5,0.5
25,14.238,0.7406,-0.16034,2.4863,0.5,0.5
26,14.7821,0.7376,-0.00216108,2.8752,0.5,0.5
27,15.3205,0.7338,0.0587588,3.204,0.5,0.5
28,15.855,0.7311,-0.0231505,3.5054,0.5,0.5
29,16.3885,0.7304,-0.17316,3.7364,0.5,0.5
30,16.9181,0.7277,-0.022568,4.1931,0.5,0.5
31,17.443,0.7245,0.0156747,4.413,0.5,0.5
32,17.9604,0.7193,0.167019,4.8598,0.5,0.5
33,18.4739,0.7166,-0.0198861,5.1929,0.5,0.5
34,18.9885,0.7174,-0.282841,5.5155,0.5,0.5
35,19.5022,0.7167,-0.170346,5.8425,0.5,0.5
36,20.009,0.7119,0.13838,6.0364,0.5,0.5
37,20.5022,0.7023,0.501049,6.3625,0.5,0.5
38,20.9906,0.6988,0.0443898,6.7685,0.5,0.5
39,21.487,0.7046,-0.655062,6.9182,0.5,0.5
40,21.9935,0.7117,-0.754905,7.3375,0.5,0.5
41,22.4826,0.6993,0.711105,7.4559,0.5,0.5
42,22.9447,0.6798,1.24925,7.5888,0.5,0.5
43,23.3799,0.6597,1.30008,7.6159,0.5,0.5
44,23.8325,0.6728,-1.19405,7.6154,0.5,0.5
45,24.3165,0.6957,-1.93613,7.7057,0.5,0.5
46,24.8541,0.7332,-3.0426,7.6413,0.5,0.5
47,25.4004,0.7391,-0.674589,7.625,0.5,0.5
48,25.9455,0.7383,-0.17207,7.5909,0.5,0.5
49,26.4603,0.7175,1.33395,7.8381,0.5,0.5
50,26.9553,0.7036,0.820413,8.1399,0.5,0.5
51,27.4562,0.7077,-0.531029,8.1143,0.5,0.5
52,27.9996,0.7372,-2.4451,8.1856,0.5,0.5
53,28.58,0.7618,-2.08521,8.2517,0.5,0.5
54,29.1634,0.7638,-0.391038,8.2258,0.5,0.5
55,29.7116,0.7404,1.52076,8.2938,0.5,0.5
56,30.2225,0.7148,1.69323,8.6137,0.5,0.5
57,30.7156,0.7022,0.721795,8.5858,0.5,0.5
58,31.22,0.7102,-0.825818,8.5421,0.5,0.5
59,31.7685,0.7406,-2.51516,8.7113,0.5,0.5
60,32.3322,0.7508,-1.00345,8.7294,0.5,0.5
61,32.9251,0.77,-1.68444,8.6798,0.5,0.5
62,33.5144,0.7677,-0.071477,8.6428,0.5,0.5
63,34.0613,0.7395,1.87926,8.6966,0.5,0.5
64,34.5729,0.7153,1.58631,8.9342,0.5,0.5
65,35.0785,0.711,0.0948833,8.941,0.5,0.5
