step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-2.42199,0.438,0.3,0
2,1.15459,0.7598,-0.102223,4.38,0.3,0
3,1.73189,0.7598,-0.102429,6.132,0.3,0.3
4,2.30934,0.7599,-0.102953,6.7858,0.3,0.3
5,2.88663,0.7598,-0.102534,4.8666,0.3,0.3
6,3.46393,0.7598,-0.103044,3.1864,0.3,0.3
7,4.04107,0.7597,-0.10293,0.436,0.3,0.3
8,4.61822,0.7597,-0.103441,0.5779,0.3,0.3
9,5.19521,0.7596,-0.103327,1.2406,0.3,0.3
10,5.7719,0.7594,-0.1032,1.7493,0.3,0.3
11,6.34843,0.7593,-0.103697,1.7119,0.3,0.3
12,6.92467,0.7591,-0.10357,1.2972,0.3,0.3
13,7.50029,0.7587,-0.103111,0.4171,0.3,0.3
14,8.07577,0.7586,-0.104218,0.4482,0.3,0.3
15,8.65078,0.7583,-0.103772,0.5264,0.3,0.3
16,9.22565,0.7582,-0.104574,0.5869,0.3,0.3
17,9.80022,0.758,-0.104446,0.6216,0.3,0.3
18,10.3745,0.7578,-0.104624,0.6256,0.3,0.3
19,10.9477,0.7571,-0.103208,0.6436,0.3,0.3
20,11.52,0.7565,-0.103637,0.6759,0.3,0.3
21,12.092,0.7563,-0.105036,0.6868,0.3,0.3
22,12.6629,0.7556,-0.10362,0.7473,0.3,0.3
23,13.2334,0.7553,-0.105005,0.7749,0.3,0.3
24,13.8035,0.7551,-0.105487,0.7956,0.3,0.3
25,14.3725,0.7543,-0.103751,0.884,0.3,0.3
26,14.941,0.754,-0.105442,0.8956,0.3,0.3
27,15.5082,0.7531,-0.103692,0.958,0.3,0.3
28,16.074,0.7522,-0.103775,1.0483,0.3,0.3
29,16.6383,0.7512,-0.103538,1.0992,0.3,0.3
30,17.2008,0.75,-0.102969,1.1771,0.3,0.3
31,17.7615,0.7488,-0.103011,1.2646,0.3,0.3
32,18.3182,0.7461,-0.0982702,1.4442,0.3,0.3
33,18.8718,0.7441,-0.10034,1.5844,0.3,0.3
34,19.4248,0.7436,-0.105054,1.6289,0.3,0.3
35,19.9752,0.7419,-0.101363,1.7316,0.3,0.3
36,20.5237,0.7406,-0.10261,1.8009,0.3,0.3
37,21.0713,0.74,-0.104867,1.8535,0.3,0.3
38,21.6158,0.7379,-0.100204,2.0285,0.3,0.3
39,22.1569,0.7356,-0.0994841,2.1872,0.3,0.3
40,22.6968,0.7348,-0.104155,2.2481,0.3,0.3
41,23.2356,0.734,-0.104246,2.3385,0.3,0.3
42,23.7704,0.7313,-0.0982806,2.5082,0.3,0.3
43,24.3024,0.7294,-0.100666,2.6351,0.3,0.3
44,24.8299,0.7263,-0.0967823,2.8048,0.3,0.3
45,25.3526,0.723,-0.0959246,3.002,0.3,0.3
46,25.87,0.7193,-0.0944016,3.2139,0.3,0.3
47,26.3856,0.718,-0.101749,3.2815,0.3,0.3
48,26.8954,0.714,-0.0931621,3.4786,0.3,0.3
49,27.3989,0.7096,-0.0915427,3.6789,0.3,0.3
50,27.9002,0.708,-0.100069,3.7437,0.3,0.3
51,28.3946,0.7032,-0.0898448,3.9412,0.3,0.3
52,28.8867,0.7015,-0.0992719,4.0035,0.3,0.3
53,29.3765,0.6998,-0.0992331,4.0702,0.3,0.3
54,29.8637,0.698,-0.098875,4.1332,0.3,0.3
55,30.3402,0.6903,-0.0800145,4.3905,0.3,0.3
56,30.8139,0.6883,-0.0973367,4.4544,0.3,0.3
57,31.2793,0.6822,-0.0841846,4.6455,0.3,0.3
58,31.7388,0.6778,-0.0889688,4.772,0.3,0.3
59,32.189,0.671,-0.0809106,4.9611,0.3,0.3
60,32.636,0.6686,-0.0942044,5.0238,0.3,0.3
61,33.0733,0.6613,-0.0784431,5.2114,0.3,0.3
62,33.5072,0.6587,-0.0926236,5.2736,0.3,0.3
63,33.9378,0.6562,-0.0927711,5.3358,0.3,0.3
64,34.3576,0.6479,-0.0741241,5.5213,0.3,0.3
65,34.7659,0.639,-0.071272,5.7058,0.3,0.3
66,35.1627,0.6299,-0.069612,5.8893,0.3,0.3
67,35.5478,0.6206,-0.0679227,6.0716,0.3,0.3
68,35.925,0.6141,-0.075767,6.1925,0.3,0.3
69,36.298,0.6108,-0.0852606,6.2528,0.3,0.3
70,36.6588,0.6006,-0.0629875,6.4327,0.3,0.3
71,37.0154,0.5972,-0.0834563,6.4924,0.3,0.3
72,37.3618,0.5886,-0.0665851,6.6711,0.3,0.3
73,37.7015,0.5828,-0.0745148,6.8482,0.3,0.3
74,38.0402,0.582,-0.0898317,6.9072,0.3,0.3
75,38.3788,0.5819,-0.0921128,6.9659,0.3,0.3
76,38.7084,0.5741,-0.0677114,7.1413,0.3,0.3
77,39.0338,0.5704,-0.0798886,7.1995,0.3,0.3
78,39.3492,0.5616,-0.0632887,7.3738,0.3,0.3
79,39.6618,0.5591,-0.082341,7.4316,0.3,0.3
80,39.9468,0.5339,-0.00979622,8.4521,0.3,0.3
81,40.2266,0.5289,-0.0709477,8.6182,0.3,0.3
82,40.5033,0.5261,-0.077432,8.7279,0.3,0.3
83,40.775,0.5212,-0.070504,8.8921,0.3,0.3
84,41.0447,0.5193,-0.0795498,8.9466,0.3,0.3
85,41.3102,0.5153,-0.0727408,9.0555,0.3,0.3
86,41.5735,0.5131,-0.0780807,9.1098,0.3,0.3
87,41.8345,0.5109,-0.0779238,9.164,0.3,0.3
88,42.0932,0.5086,-0.0774476,9.218,0.3,0.3
89,42.3493,0.5061,-0.0766386,9.272,0.3,0.3
90,42.6029,0.5036,-0.0764395,9.3258,0.3,0.3
91,42.8539,0.501,-0.0759211,9.3796,0.3,0.3
92,43.0994,0.4955,-0.066463,9.4868,0.3,0.3
93,43.3421,0.4926,-0.0741462,9.5402,0.3,0.3
94,43.5819,0.4897,-0.0738899,9.5936,0.3,0.3
95,43.8188,0.4867,-0.0733139,9.6468,0.3,0.3
96,44.0527,0.4837,-0.0730425,9.6999,0.3,0.3
97,44.2836,0.4805,-0.0721328,9.7529,0.3,0.3
98,44.5114,0.4773,-0.0718328,9.8058,0.3,0.3
99,44.7361,0.474,-0.0712133,9.8586,0.3,0.3
100,44.9576,0.4706,-0.0705794,9.9113,0.3,0.3
101,45.1693,0.4601,-0.0476175,10.0687,0.3,0.3
102,45.3741,0.4526,-0.0558949,10.173,0.3,0.3
103,45.5722,0.4451,-0.0550101,10.277,0.3,0.3
104,45.7636,0.4375,-0.0538045,10.3806,0.3,0.3
105,45.9448,0.4257,-0.0395139,10.5351,0.3,0.3
106,46.1226,0.4216,-0.0625895,10.5864,0.3,0.3
107,46.2902,0.4094,-0.0363327,10.7396,0.3,0.3
108,46.4544,0.4052,-0.0603065,10.7904,0.3,0.3
109,46.6085,0.3926,-0.0330756,10.9423,0.3,0.3
110,46.7522,0.3791,-0.0286209,11.093,0.3,0.3
111,46.8857,0.3653,-0.0259543,11.2702,0.3,0.3
112,47.0159,0.3608,-0.0538453,11.2454,0.3,0.3
113,47.1396,0.3518,-0.038994,11.0692,0.3,0.3
114,47.2601,0.3471,-0.0515875,11.4179,0.3,0.3
115,47.3708,0.3327,-0.0201298,11.6992,0.3,0.3
116,47.4749,0.3226,-0.0319931,11.8334,0.3,0.3
117,47.5696,0.3078,-0.015742,11.6437,0.3,0.3
118,47.6552,0.2926,-0.0125629,12.144,0.3,0.3
119,47.738,0.2877,-0.043434,11.7133,0.3,0.3
120,47.8124,0.2727,-0.0106583,12.2784,0.3,0.3
121,47.8785,0.2571,-0.00680524,12.2187,0.3,0.3
122,47.9367,0.2414,-0.00446128,12.5286,0.3,0.3
123,47.9926,0.2363,-0.0362077,12.3259,0.3,0.3
124,48.046,0.2312,-0.0355867,12.7006,0.3,0.3
125,48.0971,0.2261,-0.0349644,12.2679,0.3,0.3
126,48.1435,0.2154,-0.0164897,12.4838,0.3,0.3
127,48.183,0.1987,0.00401484,12.9202,0.3,0.3
128,48.2161,0.1819,0.00652226,12.7122,0.3,0.3
129,48.2472,0.1764,-0.0272918,13.178,0.3,0.3
130,48.2765,0.1711,-0.0272385,12.7624,0.3,0.3
131,48.3004,0.1545,0.00944764,13.3057,0.3,0.3
132,48.3192,0.1373,0.0135474,13.0398,0.3,0.3
133,48.3351,0.1262,-0.003625,13.0969,0.3,0.3
134,48.3497,0.1207,-0.0200196,13.603,0.3,0.3
135,48.3607,0.1048,0.013838,13.2621,0.3,0.3
136,48.3685,0.0883,0.0178572,13.8922,0.3,0.3
137,48.3738,0.0726,0.0174987,13.6421,0.3,0.3
138,48.3783,0.0675,-0.0142022,14.0825,0.3,0.3
139,48.3823,0.0627,-0.0144919,13.6141,0.3,0.3
140,48.3845,0.0473,0.019925,14.275,0.3,0.3
141,48.3855,0.0317,0.0226175,13.9649,0.3,0.3
142,48.3862,0.0266,-0.00876699,14.4569,0.3,0.3
143,48.3864,0.0124,0.0209184,14.1266,0.3,0.3
144,48.3864,-0.0018,0.0228217,14.6515,0.3,0.3
145,48.3865,-0.0109,0.00847169,14.8139,0.3,0.3
146,48.387,-0.0234,0.0205346,14.4587,0.3,0.3
147,48.3878,-0.0275,-0.00455717,14.9827,0.3,0.3
148,48.3888,-0.0314,-0.00463677,14.4663,0.3,0.3
149,48.391,-0.0475,0.0347849,14.6359,0.3,0.3
150,48.3946,-0.0597,0.0245276,15.3229,0.3,0.3
151,48.3986,-0.0635,-0.000594623,14.8028,0.3,0.3
152,48.4031,-0.0672,-0.000386019,15.3275,0.3,0.3
153,48.4092,-0.078,0.0227614,14.9678,0.3,0.3
154,48.4177,-0.0922,0.0350706,15.1334,0.3,0.3
155,48.4281,-0.1017,0.0220201,15.8122,0.3,0.3
156,48.439,-0.1045,0.00196575,15.2977,0.3,0.3
157,48.4505,-0.1072,0.00205115,15.8173,0.3,0.3
158,48.4625,-0.1098,0.00212386,15.4972,0.3,0.3
159,48.4764,-0.1178,0.019716,15.9798,0.3,0.3
160,48.4921,-0.1253,0.0192282,15.6258,0.3,0.3
161,48.5095,-0.1319,0.0174001,16.2902,0.3,0.3
162,48.5284,-0.1373,0.0144967,15.9772,0.3,0.3
163,48.548,-0.1403,0.00760842,15.9494,0.3,0.3
164,48.5688,-0.1442,0.010918,16.6028,0.3,0.3
165,48.5898,-0.1449,0.00128006,16.1099,0.3,0.3
166,48.6104,-0.1435,-0.00528094,16.757,0.3,0.3
167,48.6306,-0.1419,-0.0060677,16.2693,0.3,0.3
168,48.6501,-0.1398,-0.00783806,16.7749,0.3,0.3
169,48.669,-0.1373,-0.00935735,16.4428,0.3,0.3
170,48.687,-0.1343,-0.0112498,16.9098,0.3,0.3
171,48.7018,-0.1217,-0.042218,16.5952,0.3,0.3
172,48.7127,-0.1044,-0.058859,17.0843,0.3,0.3
173,48.721,-0.0913,-0.0477654,17.2103,0.3,0.3
174,48.7264,-0.0732,-0.0654381,16.896,0.3,0.3
175,48.7296,-0.0562,-0.0643421,17.3869,0.3,0.3
176,48.7321,-0.0509,-0.0293138,17.043,0.3,0.3
177,48.7331,-0.0314,-0.0752766,17.1896,0.3,0.3
178,48.7334,-0.0174,-0.0603542,17.686,0.3,0.3
179,48.7335,-0.0088,-0.0450159,17.7911,0.3,0.3
180,48.7335,0.0026,-0.0550937,17.4794,0.3,0.3
181,48.7337,0.0132,-0.054075,17.9798,0.3,0.3
182,48.7342,0.0226,-0.0516766,17.6624,0.3,0.3
183,48.7352,0.0308,-0.0491196,18.2126,0.3,0.3
184,48.7366,0.0378,-0.0464037,17.9103,0.3,0.3
185,48.7382,0.0399,-0.0317343,18.3505,0.3,0.3
186,48.7402,0.0455,-0.0431838,18.0535,0.3,0.3
187,48.7425,0.0473,-0.0318349,18.4873,0.3,0.3
188,48.7449,0.049,-0.0317706,18.1141,0.3,0.3
189,48.7475,0.0507,-0.0320121,18.5497,0.3,0.3
190,48.7503,0.0538,-0.0367168,18.623,0.3,0.3
191,48.7534,0.0553,-0.0320473,18.2621,0.3,0.3
192,48.7568,0.0581,-0.0364076,18.3403,0.3,0.3
193,48.7606,0.0619,-0.0399869,18.823,0.3,0.3
194,48.7648,0.065,-0.0382824,18.5539,0.3,0.3
195,48.7694,0.0673,-0.0361661,19.0231,0.3,0.3
196,48.7741,0.0687,-0.0336242,18.7695,0.3,0.3
197,48.7789,0.0692,-0.0309618,18.8403,0.3,0.3
198,48.7837,0.0695,-0.0304101,19.2837,0.3,0.3
199,48.7885,0.069,-0.027919,19.4124,0.3,0.3
200,48.7931,0.0681,-0.0265954,19.1901,0.3,0.3
201,48.7976,0.0667,-0.0248991,19.6044,0.3,0.3
202,48.8018,0.0649,-0.0234541,19.3943,0.3,0.3
203,48.8056,0.0621,-0.0200423,19.5282,0.3,0.3
204,48.8094,0.0613,-0.0260584,19.8587,0.3,0.3
205,48.8128,0.0588,-0.0205485,19.6604,0.3,0.3
206,48.816,0.0561,-0.0195912,20.0478,0.3,0.3
207,48.8189,0.0541,-0.0214752,20.1105,0.3,0.3
208,48.8217,0.0531,-0.0244089,19.856,0.3,0.3
209,48.8243,0.051,-0.0207825,19.9206,0.3,0.3
210,48.8266,0.0476,-0.0163704,20.2971,0.3,0.3
211,48.8285,0.044,-0.0152892,20.1127,0.3,0.3
212,48.8302,0.0404,-0.0148177,20.4816,0.3,0.3
213,48.8315,0.0369,-0.014664,20.3024,0.3,0.3
214,48.8326,0.0334,-0.014204,20.6637,0.3,0.3
215,48.8335,0.0301,-0.0143806,20.4899,0.3,0.3
216,48.8364,0.0531,-0.0977814,21.0996,0.3,0.3
217,48.8425,0.0782,-0.107578,21.4263,0.3,0.3
218,48.8526,0.1006,-0.102363,21.2733,0.3,0.3
219,48.8666,0.1184,-0.0907341,21.5881,0.3,0.3
220,48.884,0.132,-0.0797679,21.4449,0.3,0.3
221,48.9042,0.1419,-0.0698352,21.7534,0.3,0.3
222,48.9251,0.1445,-0.0479328,21.5616,0.3,0.3
223,48.9477,0.1506,-0.0594778,21.864,0.3,0.3
224,48.9717,0.1549,-0.0545997,21.7361,0.3,0.3
225,48.9965,0.1573,-0.0491623,22.0278,0.3,0.3
226,49.0213,0.1576,-0.0428329,21.8512,0.3,0.3
227,49.0462,0.1577,-0.0422782,22.0819,0.3,0.3
228,49.0711,0.1577,-0.0420154,21.9086,0.3,0.3
229,49.0957,0.1571,-0.0401454,21.9659,0.3,0.3
230,49.1198,0.1552,-0.0359633,22.2422,0.3,0.3
231,49.1429,0.1519,-0.0312874,22.1366,0.3,0.3
232,49.1646,0.1473,-0.0267413,22.3997,0.3,0.3
233,49.1853,0.1438,-0.0296699,22.4515,0.3,0.3
234,49.2054,0.1419,-0.034339,22.3065,0.3,0.3
235,49.225,0.1399,-0.0338035,22.503,0.3,0.3
236,49.2428,0.1333,-0.0189094,22.4191,0.3,0.3
237,49.2599,0.1308,-0.0311287,22.6049,0.3,0.3
238,49.2745,0.1208,-0.00692078,22.705,0.3,0.3
239,49.2884,0.1182,-0.0291994,22.5881,0.3,0.3
240,49.3007,0.1106,-0.0129439,22.803,0.3,0.3
241,49.3112,0.1026,-0.0106783,22.7578,0.3,0.3
242,49.3206,0.0972,-0.0179197,22.8147,0.3,0.3
243,49.3286,0.0893,-0.00925175,22.9919,0.3,0.3
244,49.3352,0.0813,-0.00789636,22.9861,0.3,0.3
245,49.3406,0.0736,-0.00780045,23.1278,0.3,0.3
246,49.345,0.0663,-0.00806151,23.1537,0.3,0.3
247,49.3483,0.0573,-0.0016802,23.2603,0.3,0.3
248,49.3514,0.0552,-0.0224822,23.3123,0.3,0.3
249,49.3542,0.0532,-0.0225339,23.3124,0.3,0.3
250,49.3564,0.0469,-0.00857272,23.407,0.3,0.3
251,49.358,0.0404,-0.00710194,23.4654,0.3,0.3
252,49.3593,0.0361,-0.013253,23.5154,0.3,0.3
253,49.3602,0.0302,-0.00758508,23.5975,0.3,0.3
254,49.361,0.0283,-0.0195517,23.6144,0.3,0.3
255,49.3619,0.0287,-0.0266359,23.6926,0.3,0.3
256,49.3634,0.0389,-0.0579365,23.7604,0.3,0.3
257,49.3678,0.0667,-0.11542,23.8561,0.3,0.3
258,49.3762,0.0913,-0.10897,23.9277,0.3,0.3
259,49.3886,0.1114,-0.0979529,23.9915,0.3,0.3
260,49.4022,0.1169,-0.0541418,24.0143,0.3,0.3
261,49.4192,0.1304,-0.0804132,24.0823,0.3,0.3
262,49.4391,0.141,-0.0730169,24.1523,0.3,0.3
263,49.4611,0.1483,-0.0639589,24.2207,0.3,0.3
264,49.4843,0.1522,-0.054141,24.2894,0.3,0.3
265,49.5076,0.1528,-0.0441864,24.3576,0.3,0.3
266,49.53,0.1496,-0.0321951,24.4481,0.3,0.3
267,49.5519,0.1481,-0.0372249,24.4707,0.3,0.3
268,49.5723,0.1428,-0.0249503,24.5378,0.3,0.3
269,49.5921,0.1407,-0.0344778,24.5601,0.3,0.3
270,49.6101,0.1339,-0.0192518,24.6266,0.3,0.3
271,49.6266,0.1286,-0.0231564,24.6708,0.3,0.3
272,49.6424,0.1259,-0.0307674,24.6928,0.3,0.3
273,49.6576,0.123,-0.0298013,24.7147,0.3,0.3
274,49.672,0.12,-0.0291264,24.7366,0.3,0.3
275,49.6842,0.1104,-0.00771738,24.802,0.3,0.3
276,49.6941,0.0997,-0.00295176,24.8671,0.3,0.3
277,49.7033,0.0961,-0.0241744,24.8886,0.3,0.3
278,49.7119,0.0925,-0.023717,24.91,0.3,0.3
279,49.7185,0.0813,0.000967671,24.9743,0.3,0.3
280,49.7239,0.0735,-0.00838853,25.017,0.3,0.3
281,49.7288,0.0697,-0.0201118,25.0382,0.3,0.3
282,49.7322,0.0584,0.00428718,25.1016,0.3,0.3
283,49.7352,0.0546,-0.0181189,25.1227,0.3,0.3
284,49.7371,0.044,0.00405278,25.1854,0.3,0.3
285,49.7382,0.0337,0.00450786,25.248,0.3,0.3
286,49.7391,0.0304,-0.016432,25.2687,0.3,0.3
287,49.7396,0.0212,0.00281019,25.3306,0.3,0.3
288,49.7399,0.0183,-0.0160426,25.3512,0.3,0.3
289,49.7402,0.0155,-0.0159769,25.3717,0.3,0.3
290,49.7403,0.01,-0.00699842,25.4127,0.3,0.3
291,49.7403,0.0073,-0.0151881,25.4332,0.3,0.3
292,49.7403,0.0046,-0.0148276,25.4536,0.3,0.3
293,49.7404,0.002,-0.014785,25.474,0.3,0.3
294,49.7404,-0.0032,-0.00614853,25.5146,0.3,0.3
295,49.7404,-0.0058,-0.0137374,25.5348,0.3,0.3
296,49.7405,-0.0083,-0.0137055,25.555,0.3,0.3
297,49.7406,-0.0107,-0.0136864,25.5751,0.3,0.3
298,49.7408,-0.0132,-0.0130424,25.5952,0.3,0.3
299,49.741,-0.0155,-0.0133407,25.6153,0.3,0.3
300,49.7413,-0.0179,-0.012709,25.6353,0.3,0.3
301,49.7418,-0.0225,-0.00536902,25.6753,0.3,0.3
302,49.7424,-0.0244,-0.013352,25.6952,0.3,0.3
303,49.7431,-0.0252,-0.0165967,25.715,0.3,0.3
304,49.7437,-0.0263,-0.0155262,25.7348,0.3,0.3
305,49.7446,-0.0298,-0.00772102,25.7546,0.3,0.3
306,49.7458,-0.0336,-0.00628673,25.7744,0.3,0.3
307,49.7459,-0.013,-0.0835466,25.8137,0.3,0.3
308,49.7459,-0.0045,-0.0477382,25.8333,0.3,0.3
309,49.746,0.005,-0.052066,25.8518,0.3,0.3
310,49.7464,0.0212,-0.0747003,25.8903,0.3,0.3
311,49.7473,0.0292,-0.0507423,25.9091,0.3,0.3
312,49.7486,0.0368,-0.0505493,25.9282,0.3,0.3
313,49.7506,0.0442,-0.0509421,25.9471,0.3,0.3
314,49.754,0.0584,-0.0736238,25.9856,0.3,0.3
315,49.7582,0.0651,-0.0516387,26.005,0.3,0.3
316,49.7633,0.0715,-0.0515996,26.0237,0.3,0.3
317,49.7694,0.0776,-0.0515219,26.0428,0.3,0.3
318,49.7773,0.0892,-0.0698941,26.0809,0.3,0.3
319,49.7863,0.0946,-0.0517121,26.1,0.3,0.3
320,49.7962,0.0997,-0.0515064,26.1188,0.3,0.3
321,49.8071,0.1045,-0.0512618,26.1377,0.3,0.3
322,49.82,0.1133,-0.0646852,26.1755,0.3,0.3
323,49.8355,0.1245,-0.0735478,26.232,0.3,0.3
324,49.8525,0.1304,-0.0581906,26.2691,0.3,0.3
325,49.8701,0.1328,-0.0478611,26.2875,0.3,0.3
326,49.8883,0.1348,-0.0469442,26.3061,0.3,0.3
327,49.9069,0.1366,-0.0466116,26.3248,0.3,0.3
328,49.926,0.1381,-0.0459338,26.3433,0.3,0.3
329,49.9454,0.1394,-0.045535,26.3619,0.3,0.3
330,49.9654,0.1411,-0.0470223,26.3989,0.3,0.3
331,49.9854,0.1416,-0.0434634,26.4173,0.3,0.3
332,50.0055,0.1419,-0.0429312,26.4356,0.3,0.3
333,50.0257,0.1419,-0.0420535,26.454,0.3,0.3
334,50.0458,0.1417,-0.0414543,26.4723,0.3,0.3
335,50.0657,0.1412,-0.0405094,26.4906,0.3,0.3
336,50.0855,0.1406,-0.0401616,26.5088,0.3,0.3
337,50.105,0.1397,-0.0391627,26.527,0.3,0.3
338,50.1238,0.1372,-0.0339793,26.5633,0.3,0.3
339,50.1412,0.132,-0.025074,26.6174,0.3,0.3
340,50.1581,0.1299,-0.0342932,26.6354,0.3,0.3
341,50.1738,0.1252,-0.0257584,26.6712,0.3,0.3
342,50.1888,0.1227,-0.032174,26.689,0.3,0.3
343,50.2033,0.1201,-0.0315527,26.7069,0.3,0.3
344,50.217,0.1173,-0.0305985,26.7246,0.3,0.3
345,50.2294,0.1112,-0.0197349,26.7601,0.3,0.3
346,50.241,0.108,-0.0281901,26.7777,0.3,0.3
347,50.252,0.1047,-0.0274708,26.7954,0.3,0.3
348,50.2622,0.1012,-0.0264185,26.8129,0.3,0.3
349,50.2711,0.094,-0.0141815,26.848,0.3,0.3
350,50.2792,0.0903,-0.0243969,26.8655,0.3,0.3
351,50.2867,0.0865,-0.0236058,26.8829,0.3,0.3
352,50.2935,0.0826,-0.0228001,26.9003,0.3,0.3
353,50.2997,0.0786,-0.02198,26.9177,0.3,0.3
354,50.3047,0.0705,-0.0083947,26.9523,0.3,0.3
355,50.3091,0.0663,-0.0197581,26.9696,0.3,0.3
356,50.3129,0.0621,-0.019212,26.9867,0.3,0.3
357,50.3163,0.0579,-0.0186649,27.0039,0.3,0.3
358,50.3187,0.0494,-0.00440958,27.0382,0.3,0.3
359,50.3208,0.045,-0.0163511,27.0553,0.3,0.3
360,50.3224,0.0408,-0.01641,27.0723,0.3,0.3
361,50.3235,0.0322,-0.0018313,27.1062,0.3,0.3
362,50.324,0.0235,-0.000366506,27.1401,0.3,0.3
363,50.3244,0.0192,-0.0132305,27.1569,0.3,0.3
364,50.3245,0.011,-0.00022636,27.1904,0.3,0.3
365,50.3245,0.0069,-0.0121978,27.2071,0.3,0.3
366,50.3246,0.003,-0.0122867,27.2238,0.3,0.3
367,50.3246,-0.0048,0.000668103,27.2572,0.3,0.3
368,50.3247,-0.0086,-0.011034,27.2738,0.3,0.3
369,50.325,-0.0195,0.012111,27.3233,0.3,0.3
370,50.3256,-0.0229,-0.0103277,27.3398,0.3,0.3
371,50.3262,-0.0262,-0.0101838,27.3561,0.3,0.3
372,50.3273,-0.0325,-0.000170578,27.3889,0.3,0.3
373,50.3286,-0.0356,-0.00951645,27.4053,0.3,0.3
374,50.3301,-0.0385,-0.00972813,27.4216,0.3,0.3
375,50.3317,-0.0412,-0.00996589,27.4378,0.3,0.3
376,50.3337,-0.0444,-0.0079984,27.4703,0.3,0.3
377,50.3362,0.0495,-0.31708,27.4865,0.3,0.3
378,50.3399,0.0609,-0.066718,27.5027,0.3,0.3
379,50.3417,0.0431,0.0248148,27.4945,0.3,0.3
380,50.3424,0.0259,0.0252806,27.4986,0.3,0.3
381,50.3424,0.0017,0.0498967,27.5311,0.3,0.3
382,50.3427,0.0168,-0.0721299,27.5499,0.3,0.3
383,50.3437,0.0322,-0.0751182,27.5621,0.3,0.3
384,50.346,0.0474,-0.0765571,27.5784,0.3,0.3
385,50.3498,0.0621,-0.077017,27.5926,0.3,0.3
386,50.358,0.0903,-0.122041,27.6232,0.3,0.3
387,50.3688,0.1038,-0.0789931,27.6387,0.3,0.3
388,50.3824,0.1166,-0.0786024,27.6525,0.3,0.3
389,50.4022,0.1407,-0.116373,27.6832,0.3,0.3
390,50.4253,0.1521,-0.0791637,27.6984,0.3,0.3
391,50.4518,0.1627,-0.0781853,27.713,0.3,0.3
392,50.4851,0.1826,-0.109298,27.7439,0.3,0.3
393,50.5219,0.1917,-0.0775922,27.7591,0.3,0.3
394,50.5619,0.2002,-0.0769533,27.7741,0.3,0.3
395,50.6053,0.2082,-0.0765548,27.7893,0.3,0.3
396,50.6518,0.2156,-0.0757725,27.8049,0.3,0.3
397,50.7013,0.2225,-0.0752305,27.8203,0.3,0.3
398,50.7537,0.2289,-0.0746232,27.8358,0.3,0.3
399,50.8114,0.2402,-0.0911639,27.8665,0.3,0.3
400,50.8714,0.2451,-0.072345,27.8818,0.3,0.3
401,50.9336,0.2493,-0.0708377,27.8969,0.3,0.3
402,50.9992,0.2562,-0.0800756,27.9274,0.3,0.3
403,51.0663,0.2589,-0.0676831,27.9426,0.3,0.3
404,51.1344,0.2611,-0.0665217,27.9577,0.3,0.3
