step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-40.2093,0,0.5,0
2,1.15459,0.7598,-0.320392,0.876,0.5,0
3,1.73189,0.7598,-0.321031,1.314,0.5,0.5
4,2.30918,0.7598,-0.321669,1.752,0.5,0.5
5,2.88648,0.7598,-0.322307,2.19,0.5,0.5
6,3.46378,0.7598,-0.322945,2.628,0.5,0.5
7,4.04107,0.7598,-0.323584,3.942,0.5,0.5
8,4.61837,0.7598,-0.324222,5.256,0.5,0.5
9,5.19582,0.7599,-0.330152,6.57,0.5,0.5
10,5.77296,0.7597,-0.314956,4.87,0.5,0.5
11,6.34965,0.7594,-0.310218,3.2018,0.5,0.5
12,6.92497,0.7585,-0.278977,0.7128,0.5,0.5
13,7.49832,0.7572,-0.258067,1.8188,0.5,0.5
14,8.06971,0.7559,-0.258156,1.4368,0.5,0.5
15,8.63868,0.7543,-0.242368,0.9051,0.5,0.5
16,9.20508,0.7526,-0.237036,0.9621,0.5,0.5
17,9.76848,0.7506,-0.221077,1.1294,0.5,0.5
18,10.3284,0.7483,-0.204989,1.2581,0.5,0.5
19,10.8847,0.7458,-0.194066,1.4194,0.5,0.5
20,11.4367,0.743,-0.177764,1.6334,0.5,0.5
21,11.9843,0.74,-0.166625,1.8322,0.5,0.5
22,12.5269,0.7366,-0.144816,2.0276,0.5,0.5
23,13.0643,0.7331,-0.138712,2.2108,0.5,0.5
24,13.6,0.7319,-0.259573,2.3055,0.5,0.5
25,14.1339,0.7307,-0.259683,2.3893,0.5,0.5
26,14.6571,0.7233,0.0683179,2.709,0.5,0.5
27,15.1738,0.7188,-0.0826459,2.9123,0.5,0.5
28,15.6864,0.716,-0.171321,3.1894,0.5,0.5
29,16.1978,0.7151,-0.271294,3.2893,0.5,0.5
30,16.7043,0.7117,-0.139214,3.4903,0.5,0.5
31,17.1992,0.7035,0.115639,3.816,0.5,0.5
32,17.6826,0.6953,0.118499,4.1535,0.5,0.5
33,18.1612,0.6918,-0.127362,4.478,0.5,0.5
34,18.6382,0.6906,-0.248188,4.812,0.5,0.5
35,19.1078,0.6853,-0.0312877,5.1351,0.5,0.5
36,19.5628,0.6745,0.261432,5.4558,0.5,0.5
37,20.0052,0.6652,0.186029,5.7825,0.5,0.5
38,20.446,0.6639,-0.233983,6.0753,0.5,0.5
39,20.8894,0.6659,-0.408632,6.4009,0.5,0.5
40,21.3236,0.6589,0.0662544,6.6793,0.5,0.5
41,21.7512,0.6539,-0.0371949,6.7665,0.5,0.5
42,22.1671,0.6449,0.176043,7.0702,0.5,0.5
43,22.5731,0.6372,0.110492,7.3903,0.5,0.5
44,22.9754,0.6343,-0.140823,7.692,0.5,0.5
45,23.3774,0.634,-0.277729,7.7975,0.5,0.5
46,23.7706,0.6271,0.071142,8.095,0.5,0.5
47,24.1448,0.6117,0.523346,8.3853,0.5,0.5
48,24.5068,0.6017,0.243541,8.7797,0.5,0.5
49,24.8721,0.6044,-0.424851,8.8252,0.5,0.5
50,25.2608,0.6234,-1.2891,9.1229,0.5,0.5
51,25.6372,0.6135,0.231788,9.2893,0.5,0.5
52,25.9827,0.5878,1.07159,9.2872,0.5,0.5
53,26.3075,0.5699,0.669128,9.4321,0.5,0.5
54,26.6388,0.5756,-0.57275,9.4023,0.5,0.5
55,27.0044,0.6047,-1.81398,9.5696,0.5,0.5
56,27.3973,0.6268,-1.45629,9.6195,0.5,0.5
57,27.7936,0.6295,-0.439451,9.6151,0.5,0.5
58,28.1796,0.6213,0.135721,9.5752,0.5,0.5
59,28.5402,0.6005,0.805453,9.8674,0.5,0.5
60,28.8886,0.5903,0.252741,10.0849,0.5,0.5
61,29.2382,0.5912,-0.330884,10.093,0.5,0.5
62,29.5904,0.5935,-0.405848,10.1695,0.5,0.5
63,29.9426,0.5935,-0.285597,10.2344,0.5,0.5
64,30.2924,0.5914,-0.174962,10.2978,0.5,0.5
65,30.6333,0.5839,0.111198,10.4819,0.5,0.5
66,30.9585,0.5702,0.441973,10.7814,0.5,0.5
67,31.2798,0.5669,-0.103117,10.8666,0.5,0.5
68,31.607,0.572,-0.54674,11.0234,0.5,0.5
69,31.9371,0.5745,-0.411772,11.1078,0.5,0.5
70,32.2573,0.5659,0.174114,11.2132,0.5,0.5
71,32.5494,0.5404,1.07162,11.6204,0.5,0.5
72,32.8328,0.5324,0.155783,11.2375,0.5,0.5
73,33.1034,0.5202,0.38097,11.3951,0.5,0.5
74,33.3726,0.5188,-0.185878,11.6285,0.5,0.5
75,33.6421,0.5192,-0.280982,11.5889,0.5,0.5
76,33.9039,0.5116,0.14178,11.9307,0.5,0.5
77,34.1464,0.4925,0.753139,12.2878,0.5,0.5
78,34.3833,0.4867,0.0569159,12.0547,0.5,0.5
79,34.6155,0.4819,0.00602708,12.3427,0.5,0.5
80,34.8488,0.483,-0.304591,12.4708,0.5,0.5
81,35.0811,0.482,-0.194326,12.8371,0.5,0.5
82,35.3008,0.4687,0.456617,12.9607,0.5,0.5
83,35.5011,0.4475,0.879895,13.3542,0.5,0.5
84,35.6942,0.4394,0.195178,13.3703,0.5,0.5
85,35.9015,0.4554,-1.07717,13.5667,0.5,0.5
86,36.1315,0.4795,-1.51295,13.6356,0.5,0.5
87,36.3674,0.4857,-0.576212,13.9395,0.5,0.5
88,36.6125,0.4951,-0.748575,13.6647,0.5,0.5
89,36.8377,0.4746,0.829386,13.7659,0.5,0.5
90,37.0382,0.4477,1.17631,13.7401,0.5,0.5
91,37.2084,0.4126,1.6212,13.9664,0.5,0.5
92,37.3625,0.3926,0.836523,13.8,0.5,0.5
93,37.5174,0.3935,-0.261435,14.035,0.5,0.5
94,37.694,0.4203,-1.63279,13.7474,0.5,0.5
95,37.8973,0.4508,-1.84023,13.9787,0.5,0.5
96,38.1026,0.4532,-0.366371,14.2325,0.5,0.5
97,38.3082,0.4534,-0.251336,14.0031,0.5,0.5
98,38.5042,0.4427,0.325036,14.29,0.5,0.5
99,38.695,0.4368,0.0751469,14.3222,0.5,0.5
100,38.8827,0.4332,-0.044455,14.6118,0.5,0.5
101,39.0749,0.4385,-0.514299,14.6241,0.5,0.5
102,39.2708,0.4426,-0.453393,15.2659,0.5,0.5
103,39.4579,0.4325,0.295986,15.1048,0.5,0.5
104,39.6194,0.4019,1.38475,15.567,0.5,0.5
105,39.7612,0.3765,1.1221,15.4004,0.5,0.5
106,39.9005,0.3733,-0.0423678,15.36,0.5,0.5
107,40.0442,0.3791,-0.517622,15.5763,0.5,0.5
