step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
116,52.1534,0.5034,-0.0881889,5.0084,0.1
117,52.4051,0.5017,-0.0883098,5.0224,0.1
118,52.6532,0.4981,-0.0874388,5.0504,0.1
119,52.8995,0.4963,-0.088227,5.0644,0.1
120,53.144,0.4944,-0.0882441,5.0783,0.1
121,53.3865,0.4925,-0.0883004,5.0921,0.1
122,53.6253,0.4887,-0.0874048,5.1198,0.1
123,53.8622,0.4867,-0.0881681,5.1336,0.1
124,54.0972,0.4847,-0.0882104,5.1474,0.1
125,54.3302,0.4827,-0.0882518,5.1611,0.1
126,54.5571,0.4764,-0.08614,5.2022,0.1
127,54.7821,0.4743,-0.0878471,5.2158,0.1
128,55.0029,0.4699,-0.0867221,5.243,0.1
129,55.2196,0.4655,-0.0865149,5.2701,0.1
130,55.4341,0.4632,-0.0873564,5.2835,0.1
131,55.6422,0.4562,-0.0850045,5.3238,0.1
132,55.846,0.4514,-0.0856303,5.3506,0.1
133,56.0475,0.4489,-0.0865247,5.3639,0.1
134,56.2424,0.4414,-0.0839954,5.4037,0.1
135,56.4327,0.4363,-0.0846635,5.4301,0.1
136,56.6208,0.4337,-0.0856204,5.4433,0.1
137,56.8042,0.4283,-0.0841746,5.4695,0.1
138,56.9854,0.4256,-0.0851973,5.4826,0.1
139,57.1642,0.4229,-0.0851388,5.4956,0.1
140,57.3407,0.4201,-0.0850288,5.5086,0.1
141,57.5125,0.4145,-0.0835561,5.5346,0.1
142,57.6772,0.4058,-0.081649,5.5733,0.1
143,57.8394,0.4028,-0.0838304,5.5862,0.1
144,57.9945,0.3938,-0.0807273,5.6247,0.1
145,58.1424,0.3845,-0.0798696,5.6628,0.1
146,58.283,0.375,-0.0790271,5.7008,0.1
147,58.4211,0.3717,-0.0813629,5.7134,0.1
148,58.5545,0.3652,-0.0796155,5.7386,0.1
149,58.6855,0.3619,-0.0807464,5.7511,0.1
150,58.814,0.3585,-0.0805457,5.7636,0.1
151,58.9401,0.3551,-0.0803833,5.776,0.1
152,59.0638,0.3517,-0.0802191,5.7885,0.1
153,59.1851,0.3483,-0.0800532,5.8009,0.1
154,59.2967,0.3341,-0.0744803,5.8503,0.1
155,59.406,0.3305,-0.0785255,5.8626,0.1
156,59.5128,0.3268,-0.0782789,5.8749,0.1
157,59.6172,0.3232,-0.0781206,5.8871,0.1
158,59.7122,0.3082,-0.0722146,5.9358,0.1
159,59.8049,0.3044,-0.0764669,5.9479,0.1
160,59.8929,0.2967,-0.0742852,5.9721,0.1
161,59.9786,0.2928,-0.0755616,5.9841,0.1
162,60.062,0.2888,-0.075266,5.9962,0.1
163,60.1365,0.2728,-0.0690024,6.0439,0.1
164,60.2043,0.2604,-0.0693326,6.0795,0.1
165,60.2657,0.2478,-0.0681165,6.115,0.1
166,60.325,0.2436,-0.0711783,6.1267,0.1
167,60.3783,0.2308,-0.0665737,6.1618,0.1
168,60.4256,0.2176,-0.0652025,6.1967,0.1
169,60.4711,0.2132,-0.0683891,6.2082,0.1
170,60.511,0.1997,-0.0634989,6.2428,0.1
171,60.5438,0.1813,-0.0597896,6.2886,0.1
172,60.5718,0.1673,-0.0602333,6.3227,0.1
173,60.5953,0.1531,-0.0588098,6.3566,0.1
174,60.6145,0.1387,-0.0573591,6.3903,0.1
175,60.6324,0.1338,-0.060736,6.4015,0.1
176,60.6478,0.124,-0.057858,6.4237,0.1
177,60.662,0.1191,-0.0593876,6.4348,0.1
178,60.6739,0.1092,-0.0564522,6.457,0.1
179,60.6847,0.1042,-0.0579643,6.468,0.1
180,60.6936,0.0941,-0.0549613,6.49,0.1
181,60.6998,0.0787,-0.0513407,6.5229,0.1
182,60.7038,0.0632,-0.0497823,6.5555,0.1
183,60.706,0.0475,-0.048156,6.5879,0.1
184,60.7078,0.0422,-0.0518071,6.5987,0.1
185,60.7085,0.0263,-0.0459903,6.6309,0.1
186,60.7086,0.0102,-0.0443054,6.6628,0.1
187,60.7086,0.0048,-0.0480478,6.6735,0.1
188,60.7088,-0.0115,-0.042052,6.7052,0.1
189,60.7096,-0.028,-0.040308,6.7367,0.1
190,60.7115,-0.0446,-0.0385857,6.768,0.1
191,60.7141,-0.0502,-0.0424006,6.7784,0.1
192,60.7185,-0.0669,-0.0362572,6.8094,0.1
193,60.7256,-0.0839,-0.0343952,6.8403,0.1
194,60.7395,-0.1181,-0.0240362,6.9014,0.1
195,60.7579,-0.1354,-0.0289985,6.9317,0.1
196,60.7811,-0.1525,-0.0272922,6.9618,0.1
197,60.81,-0.1698,-0.0253973,6.9917,0.1
198,60.845,-0.1871,-0.0235738,7.0214,0.1
199,60.8868,-0.2046,-0.0216415,7.051,0.1
200,60.9336,-0.2162,-0.0227334,7.0706,0.1
201,60.9882,-0.2337,-0.0185065,7.0998,0.1
202,61.0513,-0.2512,-0.0166309,7.1288,0.1
203,61.1235,-0.2688,-0.0146965,7.1577,0.1
204,61.1989,-0.2746,-0.0186992,7.1673,0.1
205,61.2843,-0.2921,-0.0121232,7.1959,0.1
206,61.3802,-0.3097,-0.0101683,7.2244,0.1
207,61.4873,-0.3273,-0.0082447,7.2526,0.1
208,61.6061,-0.3447,-0.00641235,7.2807,0.1
209,61.7331,-0.3563,-0.0073942,7.2994,0.1
210,61.8727,-0.3737,-0.00314735,7.3272,0.1
211,62.0256,-0.391,-0.00126185,7.3548,0.1
212,62.1922,-0.4082,0.00062225,7.3823,0.1
213,62.3731,-0.4253,0.0025049,7.4095,0.1
214,62.5686,-0.4422,0.004336,7.4366,0.1
215,62.7693,-0.4479,0.00064995,7.4456,0.1
216,62.9851,-0.4646,0.00695225,7.4725,0.1
217,63.2062,-0.4702,0.00330735,7.4815,0.1
218,63.4431,-0.4867,0.0095607,7.5081,0.1
219,63.6853,-0.4922,0.0059568,7.517,0.1
220,63.944,-0.5086,0.0122111,7.5434,0.1
221,64.2082,-0.514,0.0086081,7.5522,0.1
222,64.4892,-0.5301,0.0147632,7.5784,0.1
223,64.7873,-0.546,0.0165462,7.6045,0.1
224,65.0913,-0.5513,0.0131118,7.6131,0.1
225,65.4126,-0.5669,0.0190753,7.6389,0.1
226,65.7517,-0.5823,0.0208264,7.6647,0.1
227,66.1087,-0.5975,0.0225652,7.6902,0.1
228,66.4838,-0.6124,0.0242414,7.7155,0.1
229,66.8769,-0.627,0.0258949,7.7407,0.1
230,67.2882,-0.6413,0.0275255,7.7658,0.1
231,67.7055,-0.646,0.0244785,7.7741,0.1
232,68.1408,-0.6598,0.0298284,7.7989,0.1
233,68.6004,-0.6779,0.0336974,7.8318,0.1
234,69.078,-0.6911,0.0334029,7.8563,0.1
235,69.5734,-0.7039,0.0348749,7.8806,0.1
236,70.0864,-0.7162,0.036263,7.9047,0.1
