step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.5776,0.76,-3.99023,0,0.3,0
2,1.1552,0.76,-0.190456,0,0.3,0
3,1.73128,0.759,-0.185434,0.2176,0.3,0.3
4,2.30706,0.7588,-0.189611,0.2813,0.3,0.3
5,2.88147,0.7579,-0.186114,0.5779,0.3,0.3
6,3.45528,0.7575,-0.188741,0.6625,0.3,0.3
7,4.02742,0.7564,-0.185193,0.8447,0.3,0.3
8,4.59895,0.756,-0.18882,0.9198,0.3,0.3
9,5.16807,0.7544,-0.182646,1.1424,0.3,0.3
10,5.73629,0.7538,-0.187722,1.1816,0.3,0.3
11,6.30345,0.7531,-0.187273,1.276,0.3,0.3
12,6.87061,0.7531,-0.190999,1.276,0.3,0.3
13,7.43686,0.7525,-0.188075,1.313,0.3,0.3
14,8.00086,0.751,-0.183425,1.4635,0.3,0.3
15,8.56366,0.7502,-0.18695,1.5512,0.3,0.3
16,9.12511,0.7493,-0.18645,1.6421,0.3,0.3
17,9.68253,0.7466,-0.176999,1.8361,0.3,0.3
18,10.2384,0.7456,-0.185473,1.8807,0.3,0.3
19,10.7896,0.7424,-0.173895,2.1247,0.3,0.3
20,11.3372,0.74,-0.177517,2.2185,0.3,0.3
21,11.8773,0.7349,-0.162963,2.4892,0.3,0.3
22,12.4111,0.7306,-0.166107,2.6918,0.3,0.3
23,12.9381,0.726,-0.163675,2.9035,0.3,0.3
24,13.4603,0.7226,-0.169042,3.0562,0.3,0.3
25,13.9718,0.7152,-0.147406,3.3382,0.3,0.3
26,14.4806,0.7133,-0.174645,3.3731,0.3,0.3
27,14.9807,0.7072,-0.152332,3.5981,0.3,0.3
28,15.4711,0.7003,-0.146817,3.7764,0.3,0.3
29,15.9513,0.6929,-0.142675,3.9843,0.3,0.3
30,16.4171,0.6825,-0.12528,4.2385,0.3,0.3
31,16.8676,0.6712,-0.118156,4.4942,0.3,0.3
32,17.3062,0.6623,-0.12813,4.6851,0.3,0.3
33,17.7328,0.6531,-0.124526,4.8748,0.3,0.3
34,18.1463,0.6431,-0.118219,5.0631,0.3,0.3
35,18.5464,0.6325,-0.112759,5.2503,0.3,0.3
36,18.9324,0.6213,-0.107145,5.4366,0.3,0.3
37,19.304,0.6096,-0.101903,5.6217,0.3,0.3
38,19.6404,0.58,-0.00517686,6.0492,0.3,0.3
39,19.9662,0.5708,-0.105048,6.1702,0.3,0.3
40,20.2784,0.5587,-0.0876907,6.3491,0.3,0.3
41,20.5705,0.5405,-0.0528029,6.5859,0.3,0.3
42,20.8467,0.5255,-0.0652105,6.7638,0.3,0.3
43,21.1176,0.5205,-0.114117,6.8229,0.3,0.3
44,21.371,0.5034,-0.0494927,7.0581,0.3,0.3
45,21.6176,0.4966,-0.0994417,7.1739,0.3,0.3
46,21.8605,0.4928,-0.11364,7.3482,0.3,0.3
47,22.0882,0.4772,-0.0508827,7.5206,0.3,0.3
48,22.3062,0.4669,-0.0749477,7.635,0.3,0.3
49,22.5199,0.4623,-0.102436,7.6922,0.3,0.3
50,22.7262,0.4542,-0.0830477,7.8065,0.3,0.3
51,22.9224,0.4429,-0.0643556,7.9763,0.3,0.3
52,23.1095,0.4326,-0.0669103,8.1458,0.3,0.3
53,23.2887,0.4233,-0.0697123,8.3143,0.3,0.3
54,23.4602,0.4141,-0.0680366,8.4816,0.3,0.3
55,23.6263,0.4076,-0.0800338,8.5925,0.3,0.3
56,23.7898,0.4043,-0.0953301,8.6478,0.3,0.3
57,23.9448,0.3937,-0.0562982,8.8128,0.3,0.3
58,24.0968,0.3899,-0.0894652,8.8674,0.3,0.3
59,24.2459,0.3862,-0.0891561,8.9222,0.3,0.3
60,24.392,0.3822,-0.0867707,8.9767,0.3,0.3
61,24.5287,0.3697,-0.0412566,9.1396,0.3,0.3
62,24.6555,0.3561,-0.0324635,9.3017,0.3,0.3
63,24.7791,0.3516,-0.0769439,9.3555,0.3,0.3
