step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.5776,0.76,-12.1072,0.0018,0.3,0
2,1.1552,0.76,-0.137581,0.0011,0.3,0
3,1.73143,0.7591,-0.123634,0.1986,0.3,0.3
4,2.30691,0.7586,-0.130234,0.3827,0.3,0.3
5,2.88147,0.758,-0.128941,0.6174,0.3,0.3
6,3.45513,0.7574,-0.129222,0.8013,0.3,0.3
7,4.02787,0.7568,-0.129503,0.9434,0.3,0.3
8,4.60001,0.7564,-0.13297,1.0138,0.3,0.3
9,5.17019,0.7551,-0.118949,1.2206,0.3,0.3
10,5.73886,0.7541,-0.123882,1.3352,0.3,0.3
11,6.30421,0.7519,-0.104972,1.6125,0.3,0.3
12,6.86656,0.7499,-0.108148,1.8096,0.3,0.3
13,7.42576,0.7478,-0.106579,2.0431,0.3,0.3
14,7.98153,0.7455,-0.103398,2.2369,0.3,0.3
15,8.53477,0.7438,-0.112925,2.37,0.3,0.3
16,9.08415,0.7412,-0.0986626,2.5712,0.3,0.3
17,9.62894,0.7381,-0.090609,2.7796,0.3,0.3
18,10.1723,0.7371,-0.123883,2.8549,0.3,0.3
19,10.7094,0.7329,-0.0731035,3.1266,0.3,0.3
20,11.2427,0.7303,-0.0982109,3.2604,0.3,0.3
21,11.7692,0.7256,-0.0646629,3.5263,0.3,0.3
22,12.2918,0.7229,-0.0960484,3.6589,0.3,0.3
23,12.8069,0.7177,-0.0561063,3.9214,0.3,0.3
24,13.3156,0.7132,-0.0666879,4.1136,0.3,0.3
25,13.8199,0.7102,-0.090138,4.2428,0.3,0.3
26,14.3156,0.704,-0.0389838,4.4989,0.3,0.3
27,14.8036,0.6986,-0.0509709,4.6892,0.3,0.3
28,15.2868,0.6951,-0.0806232,4.8156,0.3,0.3
29,15.7627,0.6899,-0.0532668,5.0044,0.3,0.3
30,16.2277,0.6819,-0.00807729,5.254,0.3,0.3
31,16.687,0.6777,-0.0675196,5.3783,0.3,0.3
32,17.1389,0.6722,-0.0464001,5.5632,0.3,0.3
33,17.5825,0.6661,-0.0361945,5.7468,0.3,0.3
34,18.0145,0.6572,0.00916968,5.9908,0.3,0.3
35,18.4405,0.6527,-0.0596558,6.112,0.3,0.3
36,18.8589,0.6469,-0.0384693,6.2923,0.3,0.3
37,19.2688,0.6402,-0.0234174,6.4712,0.3,0.3
38,19.6661,0.6303,0.0284407,6.7092,0.3,0.3
39,20.0548,0.6235,-0.0194808,6.8864,0.3,0.3
40,20.4404,0.6209,-0.085482,7.0031,0.3,0.3
41,20.8259,0.6209,-0.126751,7.2366,0.3,0.3
42,21.2149,0.6237,-0.171676,7.4086,0.3,0.3
43,21.5904,0.6128,0.0457463,7.5791,0.3,0.3
44,21.9597,0.6077,-0.044998,7.6911,0.3,0.3
45,22.3264,0.6056,-0.0921813,7.8539,0.3,0.3
46,22.6938,0.6061,-0.133533,8.0237,0.3,0.3
47,23.0612,0.6061,-0.125969,8.1911,0.3,0.3
48,23.4255,0.6036,-0.0864546,8.412,0.3,0.3
49,23.7871,0.6013,-0.0894997,8.523,0.3,0.3
50,24.146,0.5991,-0.0909866,8.634,0.3,0.3
51,24.5021,0.5968,-0.0893044,8.7444,0.3,0.3
52,24.8521,0.5916,-0.0429975,8.9638,0.3,0.3
53,25.1986,0.5886,-0.07741,9.0727,0.3,0.3
54,25.5392,0.5836,-0.04531,9.2892,0.3,0.3
55,25.8748,0.5793,-0.0558587,9.45,0.3,0.3
56,26.2054,0.575,-0.0553803,9.6103,0.3,0.3
57,26.5306,0.5703,-0.0485274,9.7696,0.3,0.3
58,26.8501,0.5652,-0.0415999,9.9278,0.3,0.3
59,27.1635,0.5598,-0.0361907,10.0851,0.3,0.3
60,27.4706,0.5542,-0.0323175,10.2415,0.3,0.3
61,27.7736,0.5505,-0.0618595,10.3451,0.3,0.3
62,28.0706,0.5449,-0.0312066,10.4998,0.3,0.3
63,28.3604,0.5384,-0.0161383,10.6531,0.3,0.3
64,28.6408,0.5295,0.0229915,10.8566,0.3,0.3
65,28.9144,0.5231,-0.0155003,11.0081,0.3,0.3
66,29.1845,0.5197,-0.0624055,11.1077,0.3,0.3
67,29.4493,0.5146,-0.034977,11.2847,0.3,0.3
68,29.7048,0.5054,0.0309942,11.4317,0.3,0.3
69,29.9551,0.5003,-0.0329199,11.3071,0.3,0.3
70,30.1982,0.4931,0.00119764,11.4175,0.3,0.3
71,30.436,0.4876,-0.024838,11.9223,0.3,0.3
72,30.6684,0.4821,-0.0240958,11.8489,0.3,0.3
73,30.8953,0.4763,-0.0185716,12.2674,0.3,0.3
74,31.1182,0.4722,-0.0448513,12.2434,0.3,0.3
75,31.3333,0.4638,0.0241473,12.5045,0.3,0.3
76,31.5441,0.4591,-0.0335177,12.6134,0.3,0.3
77,31.7498,0.4535,-0.0185678,12.6531,0.3,0.3
78,31.9482,0.4455,0.0204432,12.748,0.3,0.3
79,32.1428,0.4411,-0.0356915,12.6921,0.3,0.3
80,32.3315,0.4344,0.00151622,12.9282,0.3,0.3
81,32.5155,0.4289,-0.0166142,13.289,0.3,0.3
82,32.6979,0.4271,-0.0747848,13.1643,0.3,0.3
83,32.8787,0.4252,-0.0730863,13.4373,0.3,0.3
84,33.0576,0.423,-0.0681827,13.2784,0.3,0.3
85,33.232,0.4176,-0.0170254,13.3426,0.3,0.3
86,33.4039,0.4146,-0.0544985,13.6019,0.3,0.3
87,33.5735,0.4118,-0.0573562,13.4514,0.3,0.3
88,33.7354,0.4024,0.048079,13.7942,0.3,0.3
89,33.889,0.3919,0.0670926,13.6175,0.3,0.3
90,34.0363,0.3838,0.0305533,14.0235,0.3,0.3
91,34.1803,0.3795,-0.0287178,14.0211,0.3,0.3
92,34.3223,0.3768,-0.0536254,14.3179,0.3,0.3
93,34.4615,0.3731,-0.0374012,14.1624,0.3,0.3
94,34.5963,0.3672,-0.00187795,14.5385,0.3,0.3
95,34.7295,0.365,-0.0599446,14.3382,0.3,0.3
96,34.8584,0.3589,0.00239396,14.7109,0.3,0.3
97,34.982,0.3516,0.0224272,14.6825,0.3,0.3
98,35.1039,0.3491,-0.0529022,14.8831,0.3,0.3
99,35.2216,0.3432,0.0015334,14.8464,0.3,0.3
100,35.3349,0.3365,0.0151664,15.161,0.3,0.3
101,35.4438,0.33,0.0130168,15.0229,0.3,0.3
102,35.5492,0.3247,-0.00509608,15.3791,0.3,0.3
103,35.652,0.3206,-0.0234229,15.3589,0.3,0.3
104,35.7523,0.3168,-0.0276267,15.6481,0.3,0.3
105,35.8501,0.3126,-0.0207314,15.5228,0.3,0.3
106,35.9436,0.3059,0.0196924,15.6885,0.3,0.3
107,36.0339,0.3005,3.4933e-05,16.0267,0.3,0.3
108,36.1224,0.2975,-0.037378,16.1241,0.3,0.3
109,36.2081,0.2927,-0.00831443,16.2814,0.3,0.3
110,36.2922,0.29,-0.0410525,16.3412,0.3,0.3
111,36.3756,0.2887,-0.0630169,16.1772,0.3,0.3
112,36.4551,0.2821,0.0215011,16.3383,0.3,0.3
113,36.533,0.279,-0.0332093,16.6513,0.3,0.3
114,36.6124,0.2818,-0.126783,16.6424,0.3,0.3
115,36.6928,0.2836,-0.111503,16.8003,0.3,0.3
116,36.7762,0.2888,-0.166137,16.7859,0.3,0.3
117,36.8617,0.2924,-0.141736,16.8047,0.3,0.3
118,36.9494,0.2961,-0.144129,17.0904,0.3,0.3
119,37.0364,0.2949,-0.0668894,17.236,0.3,0.3
120,37.1213,0.2915,-0.0317772,17.3002,0.3,0.3
121,37.2029,0.2856,0.00851296,17.2802,0.3,0.3
122,37.2804,0.2783,0.0317339,17.4406,0.3,0.3
123,37.3564,0.2757,-0.0419648,17.554,0.3,0.3
124,37.4314,0.274,-0.0559746,17.7,0.3,0.3
125,37.5062,0.2734,-0.0733322,17.7521,0.3,0.3
126,37.5795,0.2707,-0.0399103,17.9271,0.3,0.3
127,37.6489,0.2634,0.0337183,18.0651,0.3,0.3
128,37.7145,0.2563,0.0317146,18.1342,0.3,0.3
129,37.7776,0.2512,0.00100346,18.2654,0.3,0.3
130,37.8395,0.2488,-0.0412174,18.3463,0.3,0.3
131,37.901,0.2478,-0.0632148,18.422,0.3,0.3
132,37.9611,0.2452,-0.0376728,18.5378,0.3,0.3
133,38.0189,0.2405,-0.00387545,18.6293,0.3,0.3
134,38.0739,0.2344,0.0191521,18.7422,0.3,0.3
135,38.1263,0.2289,0.0105744,18.8387,0.3,0.3
136,38.1768,0.2249,-0.0124462,18.9423,0.3,0.3
137,38.226,0.2218,-0.0261772,19.0765,0.3,0.3
138,38.2744,0.22,-0.0464413,19.1777,0.3,0.3
139,38.3228,0.22,-0.0749043,19.1777,0.3,0.3
140,38.3704,0.2182,-0.0463425,19.2436,0.3,0.3
141,38.4159,0.2131,0.00644096,19.3427,0.3,0.3
142,38.4585,0.2064,0.0327409,19.4388,0.3,0.3
143,38.4985,0.2002,0.025879,19.5381,0.3,0.3
144,38.5371,0.1965,-0.012931,19.6352,0.3,0.3
145,38.5751,0.1949,-0.0458182,19.7283,0.3,0.3
146,38.6128,0.194,-0.0567809,19.8292,0.3,0.3
147,38.6495,0.1917,-0.0344155,19.9215,0.3,0.3
148,38.6847,0.1875,-0.00383083,20.0166,0.3,0.3
149,38.7179,0.1822,0.0143545,20.1124,0.3,0.3
150,38.7493,0.1773,0.00884538,20.2064,0.3,0.3
151,38.7795,0.1738,-0.0126639,20.2975,0.3,0.3
152,38.809,0.1718,-0.0360173,20.394,0.3,0.3
153,38.838,0.1701,-0.0405237,20.4831,0.3,0.3
154,38.8661,0.1678,-0.0307459,20.5774,0.3,0.3
155,38.8939,0.1667,-0.0495336,20.6063,0.3,0.3
156,38.9214,0.1657,-0.0510138,20.6379,0.3,0.3
157,38.9473,0.1612,0.00483836,20.7281,0.3,0.3
158,38.9714,0.1551,0.0310566,20.818,0.3,0.3
159,38.9938,0.1495,0.0241128,20.9077,0.3,0.3
160,39.0158,0.1484,-0.0466405,20.9973,0.3,0.3
161,39.0406,0.1575,-0.209009,21.0806,0.3,0.3
162,39.0697,0.1705,-0.272862,21.1735,0.3,0.3
163,39.1035,0.1839,-0.281669,21.2337,0.3,0.3
164,39.1307,0.1649,0.231967,21.4296,0.3,0.3
165,39.1486,0.1341,0.423292,21.4631,0.3,0.3
166,39.1619,0.1153,0.237616,21.4862,0.3,0.3
167,39.1738,0.1091,0.0402264,21.4526,0.3,0.3
168,39.1841,0.1014,0.0651852,21.4897,0.3,0.3
169,39.1945,0.102,-0.0657002,21.5184,0.3,0.3
170,39.2054,0.1041,-0.0897567,21.5785,0.3,0.3
171,39.2164,0.1048,-0.0678866,21.6404,0.3,0.3
172,39.2272,0.104,-0.044171,21.6765,0.3,0.3
173,39.2371,0.0996,0.0132698,21.7513,0.3,0.3
174,39.2454,0.0911,0.079328,21.8651,0.3,0.3
175,39.2527,0.0853,0.0378031,21.9418,0.3,0.3
176,39.2598,0.0842,-0.0360672,21.9727,0.3,0.3
